Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050,  0.0000, -0.0000,  1.0050,  1.0100,  1.0012,  1.0024,  0.4842,  0.2344
    2,  0.0100,  0.0000, -0.0000,  1.0050,  1.0099,  0.9945,  0.9891,  0.2991,  0.0895
    3,  0.0150,  0.0000, -0.0000,  1.0049,  1.0098,  0.9836,  0.9676,  0.0769,  0.0059
    4,  0.0200,  0.0000, -0.0000,  1.0049,  1.0097,  0.9681,  0.9371, -0.1802,  0.0325
    5,  0.0250,  0.0000, -0.0000,  1.0048,  1.0097,  0.9473,  0.8973, -0.4731,  0.2238
    6,  0.0300, -0.0000, -0.0000,  1.0048,  1.0096,  0.9209,  0.8481, -0.8025,  0.6440
    7,  0.0350,  0.0000, -0.0000,  1.0048,  1.0096,  0.8889,  0.7901, -1.1677,  1.3636
    8,  0.0400,  0.0000, -0.0000,  1.0048,  1.0096,  0.8512,  0.7246, -1.5658,  2.4519
    9,  0.0450,  0.0000, -0.0000,  1.0049,  1.0097,  0.8088,  0.6541, -1.9908,  3.9631
   10,  0.0500,  0.0000, -0.0000,  1.0050,  1.0099,  0.7627,  0.5817, -2.4325,  5.9170
   11,  0.0550,  0.0000, -0.0000,  1.0051,  1.0102,  0.7149,  0.5110, -2.8772,  8.2784
   12,  0.0600,  0.0000, -0.0000,  1.0053,  1.0106,  0.6677,  0.4458, -3.3075, 10.9395
   13,  0.0650, -0.0000, -0.0000,  1.0054,  1.0109,  0.6241,  0.3895, -3.7038, 13.7185
   14,  0.0700,  0.0000, -0.0000,  1.0056,  1.0112,  0.5867,  0.3443, -4.0471, 16.3787
   15,  0.0750,  0.0000, -0.0000,  1.0057,  1.0114,  0.5581,  0.3115, -4.3210, 18.6714
   16,  0.0800,  0.0000, -0.0000,  1.0057,  1.0115,  0.5398,  0.2914, -4.5156, 20.3909
   17,  0.0850,  0.0000, -0.0000,  1.0057,  1.0114,  0.5321,  0.2831, -4.6282, 21.4204
   18,  0.0900,  0.0000, -0.0000,  1.0056,  1.0111,  0.5342,  0.2854, -4.6643, 21.7558
   19,  0.0950,  0.0000, -0.0000,  1.0054,  1.0108,  0.5446,  0.2966, -4.6354, 21.4871
   20,  0.1000,  0.0000, -0.0000,  1.0052,  1.0105,  0.5607,  0.3144, -4.5575, 20.7711
