Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000, -0.0000,  0.8385,  0.7031,  0.8385,  0.7031,  0.4193,  0.1758
   11,  0.0550, -0.0000, -0.0000,  0.8385,  0.7031,  0.8385,  0.7031,  0.4193,  0.1758
   21,  0.1050, -0.0000, -0.0000,  0.8385,  0.7031,  0.8385,  0.7031,  0.4193,  0.1758
   31,  0.1550, -0.0000, -0.0000,  0.8383,  0.7027,  0.8122,  0.6596,  0.1320,  0.0174
   41,  0.2050, -0.0000, -0.0000,  0.8386,  0.7032,  0.6150,  0.3782, -1.1253,  1.2663
   51,  0.2550, -0.0000, -0.0000,  0.8384,  0.7029,  0.6326,  0.4002, -1.0939,  1.1966
   61,  0.3050, -0.0000, -0.0000,  0.8383,  0.7028,  0.7731,  0.5977, -0.1786,  0.0319
   71,  0.3550, -0.0000, -0.0000,  0.8385,  0.7031,  0.7783,  0.6058, -0.0593,  0.0035
   81,  0.4050, -0.0000, -0.0000,  0.8384,  0.7030,  0.7865,  0.6186, -0.0371,  0.0014
   91,  0.4550,  0.0000, -0.0000,  0.8385,  0.7030,  0.7969,  0.6351,  0.0145,  0.0002
