Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050,  0.0000, -0.0000,  0.8236,  0.6783,  0.8236,  0.6783,  0.4118,  0.1696
   11,  0.0550,  0.0000, -0.0000,  0.8236,  0.6783,  0.8236,  0.6783,  0.4118,  0.1696
   21,  0.1050,  0.0000, -0.0000,  0.8236,  0.6783,  0.8236,  0.6783,  0.4118,  0.1696
   31,  0.1550,  0.0000, -0.0000,  0.8235,  0.6781,  0.8023,  0.6436,  0.2501,  0.0625
   41,  0.2050,  0.0000, -0.0000,  0.8235,  0.6781,  0.7367,  0.5428, -0.2430,  0.0590
   51,  0.2550,  0.0000,  0.0000,  0.8236,  0.6783,  0.7077,  0.5009, -0.4518,  0.2041
   61,  0.3050,  0.0000, -0.0000,  0.8233,  0.6778,  0.7628,  0.5818, -0.2049,  0.0420
   71,  0.3550,  0.0000, -0.0000,  0.8235,  0.6782,  0.6741,  0.4544, -0.6715,  0.4509
   81,  0.4050,  0.0000, -0.0000,  0.8232,  0.6776,  0.6346,  0.4027, -0.9881,  0.9763
   91,  0.4550,  0.0000, -0.0000,  0.8233,  0.6778,  0.6971,  0.4860, -0.5620,  0.3159
