Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050, -0.0000,  0.0000,  0.7946,  0.6314,  0.7946,  0.6314,  0.3973,  0.1579
   11,  0.0550, -0.0000,  0.0000,  0.7946,  0.6314,  0.7946,  0.6314,  0.3973,  0.1579
   21,  0.1050, -0.0000,  0.0000,  0.7946,  0.6314,  0.7946,  0.6314,  0.3973,  0.1579
   31,  0.1550, -0.0000,  0.0000,  0.7945,  0.6312,  0.7791,  0.6070,  0.2292,  0.0525
   41,  0.2050, -0.0000, -0.0000,  0.7946,  0.6314,  0.6710,  0.4503, -0.5311,  0.2820
   51,  0.2550,  0.0000, -0.0000,  0.7945,  0.6312,  0.6055,  0.3666, -1.0875,  1.1826
   61,  0.3050,  0.0000,  0.0000,  0.7947,  0.6315,  0.5405,  0.2921, -1.4692,  2.1585
   71,  0.3550,  0.0000,  0.0000,  0.7944,  0.6310,  0.6182,  0.3821, -1.0631,  1.1301
   81,  0.4050,  0.0000,  0.0000,  0.7945,  0.6313,  0.6784,  0.4603, -0.5486,  0.3010
   91,  0.4550, -0.0000,  0.0000,  0.7946,  0.6313,  0.7707,  0.5940,  0.1325,  0.0176
  101,  0.5050, -0.0000,  0.0000,  0.7945,  0.6312,  0.7711,  0.5946,  0.0906,  0.0082
  111,  0.5550,  0.0000,  0.0000,  0.7947,  0.6315,  0.6187,  0.3828, -0.7957,  0.6331
  121,  0.6050, -0.0000,  0.0000,  0.7947,  0.6315,  0.5869,  0.3444, -1.0206,  1.0416
  131,  0.6550, -0.0000,  0.0000,  0.7944,  0.6311,  0.6872,  0.4723, -0.5088,  0.2588
  141,  0.7050, -0.0000, -0.0000,  0.7946,  0.6314,  0.6762,  0.4573, -0.5036,  0.2536
  151,  0.7550, -0.0000,  0.0000,  0.7946,  0.6314,  0.7085,  0.5020, -0.2955,  0.0873
  161,  0.8050, -0.0000,  0.0000,  0.7946,  0.6314,  0.7284,  0.5305, -0.1975,  0.0390
  171,  0.8550, -0.0000,  0.0000,  0.7946,  0.6314,  0.7304,  0.5335, -0.1815,  0.0329
  181,  0.9050, -0.0000,  0.0000,  0.7945,  0.6313,  0.7456,  0.5559, -0.0931,  0.0087
  191,  0.9550, -0.0000,  0.0000,  0.7946,  0.6314,  0.6994,  0.4892, -0.3380,  0.1142
