Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    2,  0.0100,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    3,  0.0150,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    4,  0.0200,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    5,  0.0250,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    6,  0.0300,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    7,  0.0350,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    8,  0.0400,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
    9,  0.0450,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   10,  0.0500,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   11,  0.0550,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   12,  0.0600,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   13,  0.0650,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   14,  0.0700,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   15,  0.0750,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   16,  0.0800,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   17,  0.0850,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   18,  0.0900,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   19,  0.0950,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   20,  0.1000,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2417
   21,  0.1050,  0.0000,  0.0000,  0.9832,  0.9666,  0.9832,  0.9666,  0.4916,  0.2416
   22,  0.1100,  0.0000,  0.0000,  0.9832,  0.9666,  0.9831,  0.9665,  0.4894,  0.2395
   23,  0.1150,  0.0000,  0.0000,  0.9831,  0.9666,  0.9829,  0.9661,  0.4834,  0.2337
   24,  0.1200,  0.0000,  0.0000,  0.9831,  0.9665,  0.9822,  0.9647,  0.4695,  0.2204
   25,  0.1250,  0.0000,  0.0000,  0.0393,  0.1926,  0.0392,  0.1922,  0.0179,  0.0876
   26,  0.1300,  0.0000,  0.0000,  0.9830,  0.9664,  0.9780,  0.9565,  0.4146,  0.1719
   27,  0.1350,  0.0000,  0.0000,  0.9830,  0.9663,  0.9738,  0.9484,  0.3719,  0.1383
   28,  0.1400,  0.0000,  0.0000,  0.9830,  0.9663,  0.9678,  0.9365,  0.3176,  0.1009
   29,  0.1450,  0.0000,  0.0000,  0.9830,  0.9662,  0.9595,  0.9206,  0.2523,  0.0636
   30,  0.1500,  0.0000,  0.0000,  0.9829,  0.9662,  0.9488,  0.9002,  0.1745,  0.0304
   31,  0.1550,  0.0000,  0.0000,  0.9829,  0.9662,  0.9356,  0.8753,  0.0852,  0.0073
   32,  0.1600,  0.0000,  0.0000,  0.9829,  0.9662,  0.9200,  0.8463, -0.0162,  0.0003
   33,  0.1650,  0.0000,  0.0000,  0.9830,  0.9662,  0.9022,  0.8140, -0.1272,  0.0162
   34,  0.1700,  0.0000,  0.0000,  0.9830,  0.9663,  0.8829,  0.7795, -0.2444,  0.0597
   35,  0.1750,  0.0000,  0.0000,  0.9831,  0.9664,  0.8628,  0.7444, -0.3627,  0.1316
   36,  0.1800,  0.0000,  0.0000,  0.9831,  0.9665,  0.8431,  0.7107, -0.4779,  0.2284
   37,  0.1850,  0.0000,  0.0000,  0.9832,  0.9667,  0.8247,  0.6801, -0.5853,  0.3426
   38,  0.1900,  0.0000,  0.0000,  0.9832,  0.9667,  0.8087,  0.6540, -0.6813,  0.4641
   39,  0.1950,  0.0000,  0.0000,  0.9833,  0.9668,  0.7960,  0.6336, -0.7616,  0.5801
   40,  0.2000,  0.0000,  0.0000,  0.9833,  0.9668,  0.7870,  0.6193, -0.8225,  0.6765
   41,  0.2050,  0.0000,  0.0000,  0.9833,  0.9668,  0.7820,  0.6115, -0.8635,  0.7457
   42,  0.2100,  0.0000,  0.0000,  0.9832,  0.9668,  0.7808,  0.6096, -0.8852,  0.7836
   43,  0.2150,  0.0000,  0.0000,  0.9832,  0.9667,  0.7831,  0.6132, -0.8877,  0.7881
   44,  0.2200,  0.0000,  0.0000,  0.9832,  0.9666,  0.7882,  0.6212, -0.8744,  0.7645
   45,  0.2250,  0.0000,  0.0000,  0.9831,  0.9665,  0.7955,  0.6328, -0.8483,  0.7195
   46,  0.2300,  0.0000,  0.0000,  0.9831,  0.9664,  0.8043,  0.6469, -0.8129,  0.6608
   47,  0.2350,  0.0000,  0.0000,  0.9830,  0.9664,  0.8139,  0.6624, -0.7710,  0.5945
   48,  0.2400,  0.0000,  0.0000,  0.9830,  0.9663,  0.8237,  0.6785, -0.7247,  0.5251
   49,  0.2450,  0.0000,  0.0000,  0.9830,  0.9663,  0.8333,  0.6944, -0.6756,  0.4565
   50,  0.2500,  0.0000,  0.0000,  0.0393,  0.1926,  0.0337,  0.1651, -0.0250,  0.1226
   51,  0.2550,  0.0000,  0.0000,  0.9830,  0.9663,  0.8509,  0.7240, -0.5763,  0.3321
