Step Count,Time Now,Velocity Sum Value X,Velocity Sum Value Y,Potential Energy Sum,Potential Energy Sum Squared,Kinetic Energy Sum,Kinetic Energy Sum Squared,Pressure Sum,Pressure Sum Squared
    1,  0.0050,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    2,  0.0100,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    3,  0.0150,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    4,  0.0200,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    5,  0.0250,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    6,  0.0300,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    7,  0.0350,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    8,  0.0400,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
    9,  0.0450,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   10,  0.0500,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   11,  0.0550,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   12,  0.0600,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   13,  0.0650,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   14,  0.0700,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   15,  0.0750,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   16,  0.0800,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   17,  0.0850,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   18,  0.0900,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   19,  0.0950,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   20,  0.1000,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5018,  0.2519
   21,  0.1050,  0.0000,  0.0000,  1.0037,  1.0074,  1.0037,  1.0074,  0.5017,  0.2517
   22,  0.1100,  0.0000,  0.0000,  1.0037,  1.0074,  1.0036,  1.0072,  0.4988,  0.2488
   23,  0.1150,  0.0000,  0.0000,  1.0036,  1.0073,  1.0033,  1.0065,  0.4899,  0.2400
   24,  0.1200,  0.0000,  0.0000,  1.0036,  1.0072,  1.0023,  1.0047,  0.4739,  0.2246
   25,  0.1250,  0.0000,  0.0000,  0.0401,  0.1967,  0.0400,  0.1960,  0.0179,  0.0875
   26,  0.1300,  0.0000,  0.0000,  1.0035,  1.0071,  0.9972,  0.9945,  0.4104,  0.1685
   27,  0.1350,  0.0000,  0.0000,  1.0035,  1.0070,  0.9923,  0.9847,  0.3642,  0.1326
   28,  0.1400,  0.0000,  0.0000,  1.0035,  1.0070,  0.9854,  0.9711,  0.3068,  0.0941
   29,  0.1450,  0.0000,  0.0000,  1.0035,  1.0069,  0.9762,  0.9530,  0.2372,  0.0563
   30,  0.1500,  0.0000,  0.0000,  1.0034,  1.0069,  0.9646,  0.9304,  0.1548,  0.0240
   31,  0.1550,  0.0000, -0.0000,  1.0034,  1.0069,  0.9504,  0.9032,  0.0610,  0.0037
   32,  0.1600,  0.0000,  0.0000,  1.0035,  1.0069,  0.9339,  0.8721, -0.0431,  0.0019
   33,  0.1650,  0.0000,  0.0000,  1.0035,  1.0070,  0.9155,  0.8381, -0.1551,  0.0241
   34,  0.1700,  0.0000,  0.0000,  1.0035,  1.0071,  0.8959,  0.8026, -0.2710,  0.0734
   35,  0.1750,  0.0000,  0.0000,  1.0036,  1.0072,  0.8761,  0.7676, -0.3860,  0.1490
   36,  0.1800,  0.0000,  0.0000,  1.0037,  1.0074,  0.8572,  0.7348, -0.4962,  0.2462
   37,  0.1850,  0.0000,  0.0000,  1.0037,  1.0075,  0.8403,  0.7061, -0.5965,  0.3558
   38,  0.1900,  0.0000,  0.0000,  1.0038,  1.0076,  0.8264,  0.6829, -0.6814,  0.4643
   39,  0.1950,  0.0000,  0.0000,  1.0038,  1.0076,  0.8160,  0.6659, -0.7475,  0.5588
   40,  0.2000,  0.0000,  0.0000,  1.0038,  1.0076,  0.8096,  0.6555, -0.7939,  0.6302
